statelocation,Freq
alabama,78
alaska,1
arizona,210
arkansas,101
california,1192
colorado,173
connecticut,172
delaware,15
district of columbia,230
florida,790
georgia,584
hawaii,3
idaho,19
illinois,534
indiana,132
iowa,76
kansas,716
kentucky,177
louisiana,263
maine,35
maryland,276
massachusetts,1072
michigan,474
minnesota,780
mississippi,28
missouri,243
montana,12
nebraska,71
nevada,255
new hampshire,41
new jersey,280
new mexico,28
new york,574
north carolina,561
north dakota,39
ohio,346
oklahoma,254
oregon,182
pennsylvania,640
rhode island,34
south carolina,302
south dakota,59
tennessee,277
texas,1203
utah,25
vermont,18
virginia,423
washington,173
west virginia,48
wisconsin,118
wyoming,28
